,Title,Date,Source,Label,Score,Organizations
0,Saudi Arabia’s ACWA Power to develop largest green hydrogen project in Indonesia worth over $1 ...,2024-01-29,https://www.cnbc.com/video/2024/01/29/acwa-power-to-develop-green-hydrogen-project-in-indonesia.html?&qsearchterm=green%20hydrogen,neutral,0.6691884398460388,['ACWA Power']
1,"‘Europe does not have an incentive program’ for green hydrogen, says Clariant CEO",2024-01-17,https://www.cnbc.com/video/2024/01/17/europe-does-not-have-an-incentive-program-for-green-hydrogen-says-clariant-ceo.html?&qsearchterm=green%20hydrogen,neutral,0.6573702692985535,['Clariant']
2,TES CEO: 2024 must be a year of delivery for green goals,2024-01-15,https://www.cnbc.com/video/2024/01/15/tes-ceo-2024-must-be-a-year-of-delivery-for-green-goals.html?&qsearchterm=green%20hydrogen,positive,0.6311042904853821,['TES']
3,"Here are Wednesday’s biggest analyst calls: Apple, Tesla, Alphabet, Microsoft, AMD, Meta, Spotify and more",2024-01-31,https://www.cnbc.com/2024/01/31/top-stocks-to-buy-on-wednesday-amd-aapl-tsla-googl-msft.html?&qsearchterm=green%20hydrogen,neutral,0.7406183481216431,"['Apple', 'Tesla', 'Alphabet', 'Microsoft', 'AMD', 'Meta']"
4,"The hydrogen stock bubble burst, but Bernstein says it’s time for a second look at ...",2023-08-11,https://www.cnbc.com/2023/08/11/bernstein-says-its-time-for-a-look-at-this-potential-2-trillion-green-fuel-source.html?&qsearchterm=green%20hydrogen,neutral,0.7370100021362305,[]
5,"Here are Thursday’s biggest analyst calls: Tesla, Apple, Boeing, IBM, Meta, Microsoft, Rivian, Amazon & ...",2024-01-25,https://www.cnbc.com/2024/01/25/top-stocks-to-buy-on-thursday.html?&qsearchterm=green%20hydrogen,neutral,0.8022897839546204,"['Tesla', 'Apple', 'Boeing', 'IBM', 'Meta', 'Microsoft', 'Rivian', 'Amazon']"
6,‘We need everything’: CEO on why natural gas infrastructure needs to be ready for clean ...,2023-11-09,https://www.cnbc.com/2023/11/09/ceo-on-why-natural-gas-infrastructure-must-be-ready-for-clean-hydrogen.html?&qsearchterm=green%20hydrogen,neutral,0.794861912727356,[]
7,There’s a lot of talk about hydrogen’s potential. But transportation costs represent a big challenge,2023-07-04,https://www.cnbc.com/2023/07/04/green-hydrogen-is-getting-lots-of-buzz-but-costs-are-a-sticking-point.html?&qsearchterm=green%20hydrogen,neutral,0.6394227743148804,[]
8,"‘It was good to have businesses at the table’ at COP28, says Schneider Electric CEO",2024-01-16,https://www.cnbc.com/video/2024/01/16/it-was-good-to-have-businesses-at-the-table-at-cop28-says-schneider-electric-ceo.html?&qsearchterm=green%20hydrogen,positive,0.9260284304618835,['Schneider Electric']
9,"Biden’s Inflation Reduction Act makes green hydrogen profitable at scale, Goldman Sachs says",2022-11-30,https://www.cnbc.com/2022/11/30/the-ira-makes-green-hydrogen-profitable-at-scale-goldman-says.html?&qsearchterm=green%20hydrogen,positive,0.7657210826873779,['Goldman Sachs']
10,"In Australia, firms plan ‘super hub’ to produce green hydrogen using wind and solar",2022-11-16,https://www.cnbc.com/2022/11/16/firms-plan-australian-super-hub-to-produce-green-hydrogen.html?&qsearchterm=green%20hydrogen,neutral,0.732514500617981,[]
11,"This green hydrogen stock can rally more than 20%, says Citi",2023-07-06,https://www.cnbc.com/2023/07/06/this-green-hydrogen-stock-can-rally-more-than-20percent-says-citi.html?&qsearchterm=green%20hydrogen,positive,0.7706541419029236,[]
12,Green hydrogen corridor aims to harness Spanish sunshine and decarbonize Europe’s industrial north,2022-10-12,https://www.cnbc.com/2022/10/12/green-hydrogen-project-aims-to-decarbonize-europes-industrial-north.html?&qsearchterm=green%20hydrogen,neutral,0.49819254875183105,[]
13,Credit Suisse says now’s the time to buy two green hydrogen stocks — and gives ...,2022-09-28,https://www.cnbc.com/2022/09/28/green-hydrogen-stocks-credit-suisse-says-its-time-to-buy-.html?&qsearchterm=green%20hydrogen,neutral,0.7413366436958313,['Credit Suisse']
14,Siemens commissions one of the biggest green hydrogen production plants in Germany,2022-09-15,https://www.cnbc.com/2022/09/15/green-hydrogen-siemens-commissions-german-production-plant.html?&qsearchterm=green%20hydrogen,positive,0.8232738375663757,['Siemens']
