,Link,Title,Description
0,https://www.google.com/search?q=internshala&sca_esv=586961924&source=hp&ei=wtppZYjQF4-T0PEP_c6agAI&iflsig=AO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1#,Turn off continuous scrolling,
1,https://www.google.com/search?q=internshala&sca_esv=586961924&source=hp&ei=wtppZYjQF4-T0PEP_c6agAI&iflsig=AO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1#,,
2,https://support.google.com/websearch/answer/181196?hl=en-IN,Accessibility help,"After you search, the results page is organized so that you can easily navigate it with assistive technology, like screen readers and keyboards. Use accessibility links on results pages On a comput"
3,https://www.google.com/webhp?hl=en&sa=X&ved=0ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQPAgJ,,
4,https://www.google.com/search?q=internshala&sca_esv=586961924&source=hp&ei=wtppZYjQF4-T0PEP_c6agAI&iflsig=AO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1#,,
5,https://www.google.co.in/intl/en/about/products?tab=wh,,"Browse a list of Google products designed to help you work and play, stay organized, get answers, keep in touch, grow your business, and more."
6,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/search%3Fq%3Dinternshala%26sca_esv%3D586961924%26source%3Dhp%26ei%3DwtppZYjQF4-T0PEP_c6agAI%26iflsig%3DAO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1&ec=GAZAAQ,Sign in,
7,https://www.google.com/search?sca_esv=586961924&q=Internshala+Login&uds=H4sIAAAAAAAA_-PS5GL1yU_PzBPizswrSS3KK85IzEk0YCoS9ERwFcAqjJBVAAA4MhKWOAAAAA&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQxKsJegQIFRAB&ictx=0,Login,
8,https://www.google.com/search?sca_esv=586961924&q=Internshala+Internship&uds=H4sIAAAAAAAA_-My5uLyzCtJLcorzsgsEOLOhLITcxINmIrEPBFcBYQyI2RlADsWl75CAAAA&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQxKsJegQIFhAB&ictx=0,Internship,
9,https://www.google.com/search?sca_esv=586961924&q=Internshala+work+from+Home&uds=H4sIAAAAAAAA_-Oy5uILzy_KVkgrys9V8MjPTRXizswrSS3KK85IzEk0YCqS8kRwFcpRlBohKwUAA6FjUUoAAAA&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQxKsJegQIFBAB&ictx=0,Work from Home,
