,Name,Address,Contact,Max Discount,Link
0,Tamashi Family Saloon And Spa,"No. 83, Near Kotak Mahindra Bank, Arcot Road, AVM Avenue, Virugambakkam, Chennai",+91 6383898627,52,https://www.nearbuy.com/chennai/tamashi-family-saloon-and-spa-virugambakkam?merchantId=350612&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
1,Studio MW Unisex Salon,"No. 5/790, Near Nolambur Old Police Station, Kavimani Street, Mogappair West, Chennai","+91 9600069630, +91 9500098255",52,https://www.nearbuy.com/chennai/studio-mw-unisex-saloon-mogappair-west?merchantId=266223&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
2,Lavion Unisex Style & Beauty Salon,"No. A-5, 2nd Main Road, Thiruvalluvar Nagar, Thiruvanmiyur, Chennai","+91 9884065856, +91 44 47438866",50,https://www.nearbuy.com/chennai/style-nation-unisex-beauty-salon-thiruvanmiyur?merchantId=110408&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
3,Suave Salon & Wellness,"2/796, 1st, Floor, Sakshi Towers, 1st Main Road, Chinna Neelankarai, ECR, Kazura Garden, Chennai","+91 6380527719, +91 7200459485, +91 44 35001437",73,https://www.nearbuy.com/chennai/suave-salon-and-wellness-neelankarai?merchantId=352070&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
4,Asian Continental Spa,"No. 5, 200 Feet Radial Road, Opp. to Radiance Mandarin, Seevaram, Thuraipakkam, Chennai",+91 7824849555,40,https://www.nearbuy.com/chennai/asian-continental-unisex-saloon-and-spa-thuraipakkam?merchantId=84869&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
5,7 Star Ladies Salon,"No. 207, Near IIT Campus, Indian Institute of Technology, Chennai",+91 44 22570717,57,https://www.nearbuy.com/chennai/7-star-the-ladies-salon-indian-institute-of-technology?merchantId=86659&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
6,Aalasya Spa - Crossway Parklane Hotel,"Crossway Parklane Hotel, No. 3, 57, Veteran Lane, Mallika Nagar, Pallavaram, Chennai",+91 9500178166,52,https://www.nearbuy.com/chennai/aalasya-spa-crossway-parklane-hotel-pallavaram?merchantId=292933&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
7,Green Day Spa & Salon,"No. 52, Satyadev Avenue, Opp. Somerset, Next to Apollo Hospital, MRC Nagar, RA Puram, Chennai",+91 9600004812,79,https://www.nearbuy.com/chennai/green-unisex-salon-and-spa-ra-puram?merchantId=68818&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
8,Haven Unisex Spa,"3/2, Brahathammal Road, Nungambakkam, Chennai",+91 6205235707,20,https://www.nearbuy.com/chennai/haven-unisex-spa-nungambakkam?merchantId=348287&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
9,7 Star Men's Salon,"No. 5, Murphy Doss Road, Seethapathy Nagar, Seetapathi Nagar, Chennai","+91 0444 3100074, +91 9841418413",60,https://www.nearbuy.com/chennai/7-star-the-mens-salon-velacheri?merchantId=86658&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
